ID                                          County     State    # of Tracts    Population
Baker_FL                                     Baker        FL              4         27115
Bay_FL                                         Bay        FL             44        168852
Bradford_FL                               Bradford        FL              4         28520
Brevard_FL                                 Brevard        FL            113        543376
Broward_FL                                 Broward        FL            361       1748066
Calhoun_FL                                 Calhoun        FL              3         14625
Charlotte_FL                             Charlotte        FL             39        159978
Citrus_FL                                   Citrus        FL             27        141236
Clay_FL                                       Clay        FL             30        190865
Collier_FL                                 Collier        FL             73        321520
Columbia_FL                               Columbia        FL             12         67531
DeSoto_FL                                   DeSoto        FL              9         34862
Dixie_FL                                     Dixie        FL              3         16422
Duval_FL                                     Duval        FL            173        864263
Escambia_FL                               Escambia        FL             71        297619
Flagler_FL                                 Flagler        FL             20         95696
Franklin_FL                               Franklin        FL              4         11549
Gadsden_FL                                 Gadsden        FL              9         46389
Gilchrist_FL                             Gilchrist        FL              5         16939
Glades_FL                                   Glades        FL              4         12884
Gulf_FL                                       Gulf        FL              3         15863
Hamilton_FL                               Hamilton        FL              3         14799
Hardee_FL                                   Hardee        FL              6         27731
Hendry_FL                                   Hendry        FL              7         39140
Hernando_FL                               Hernando        FL             45        172778
Highlands_FL                             Highlands        FL             27         98786
Hillsborough_FL                       Hillsborough        FL            321       1229226
Holmes_FL                                   Holmes        FL              4         19927
Indian River_FL                       Indian River        FL             30        138028
Jackson_FL                                 Jackson        FL             11         49746
Jefferson_FL                             Jefferson        FL              3         14761
Lafayette_FL                             Lafayette        FL              2          8870
Lake_FL                                       Lake        FL             56        297052
Lee_FL                                         Lee        FL            166        618754
Leon_FL                                       Leon        FL             68        275487
Levy_FL                                       Levy        FL              9         40801
Liberty_FL                                 Liberty        FL              2          8365
Madison_FL                                 Madison        FL              5         19224
Manatee_FL                                 Manatee        FL             78        322833
Marion_FL                                   Marion        FL             63        331298
Martin_FL                                   Martin        FL             35        146318
Miami-Dade_FL                           Miami-Dade        FL            519       2496435
Monroe_FL                                   Monroe        FL             30         73090
Nassau_FL                                   Nassau        FL             12         73314
Okaloosa_FL                               Okaloosa        FL             41        180822
Okeechobee_FL                           Okeechobee        FL             12         39996
Orange_FL                                   Orange        FL            207       1145956
Osceola_FL                                 Osceola        FL             41        268685
Palm Beach_FL                           Palm Beach        FL            337       1320134
Pasco_FL                                     Pasco        FL            134        464697
Pinellas_FL                               Pinellas        FL            245        916542
Polk_FL                                       Polk        FL            154        602095
Putnam_FL                                   Putnam        FL             17         74364
St. Johns_FL                             St. Johns        FL             40        190039
St. Lucie_FL                             St. Lucie        FL             44        277789
Santa Rosa_FL                           Santa Rosa        FL             25        151372
Sarasota_FL                               Sarasota        FL             94        379448
Seminole_FL                               Seminole        FL             86        422718
Sumter_FL                                   Sumter        FL             19         93420
Suwannee_FL                               Suwannee        FL              7         41551
Taylor_FL                                   Taylor        FL              4         22570
Union_FL                                     Union        FL              3         15535
Volusia_FL                                 Volusia        FL            113        494593
Wakulla_FL                                 Wakulla        FL              4         30776
Walton_FL                                   Walton        FL             11         55043
Washington_FL                           Washington        FL              7         24896
Appling_GA                                 Appling        GA              5         18236
Atkinson_GA                               Atkinson        GA              3          8375
Bacon_GA                                     Bacon        GA              3         11096
Baker_GA                                     Baker        GA              2          3451
Baldwin_GA                                 Baldwin        GA              9         45720
Banks_GA                                     Banks        GA              4         18395
Barrow_GA                                   Barrow        GA             18         69367
Bartow_GA                                   Bartow        GA             15        100157
Ben Hill_GA                               Ben Hill        GA              5         17634
Berrien_GA                                 Berrien        GA              6         19286
Bibb_GA                                       Bibb        GA             44        155547
Bleckley_GA                               Bleckley        GA              3         13063
Brantley_GA                               Brantley        GA              3         18411
Brooks_GA                                   Brooks        GA              5         16243
Bryan_GA                                     Bryan        GA              7         30233
Bulloch_GA                                 Bulloch        GA             12         70217
Burke_GA                                     Burke        GA              6         23316
Butts_GA                                     Butts        GA              3         23655
Calhoun_GA                                 Calhoun        GA              2          6694
Camden_GA                                   Camden        GA             10         50513
Candler_GA                                 Candler        GA              3         10998
Carroll_GA                                 Carroll        GA             17        110527
Catoosa_GA                                 Catoosa        GA             11         63942
Charlton_GA                               Charlton        GA              2         12171
Chatham_GA                                 Chatham        GA             72        265128
Chattahoochee_GA                     Chattahoochee        GA              5         11267
Chattooga_GA                             Chattooga        GA              6         26015
Cherokee_GA                               Cherokee        GA             26        214346
Clarke_GA                                   Clarke        GA             30        116714
Clay_GA                                       Clay        GA              1          3183
Clayton_GA                                 Clayton        GA             50        259424
Clinch_GA                                   Clinch        GA              2          6798
Cobb_GA                                       Cobb        GA            120        688078
Coffee_GA                                   Coffee        GA              9         42356
Colquitt_GA                               Colquitt        GA             10         45498
Columbia_GA                               Columbia        GA             20        124053
Cook_GA                                       Cook        GA              4         17212
Coweta_GA                                   Coweta        GA             20        127317
Crawford_GA                               Crawford        GA              3         12630
Crisp_GA                                     Crisp        GA              6         23439
Dade_GA                                       Dade        GA              4         16633
Dawson_GA                                   Dawson        GA              3         22330
Decatur_GA                                 Decatur        GA              7         27842
DeKalb_GA                                   DeKalb        GA            145        691893
Dodge_GA                                     Dodge        GA              6         21796
Dooly_GA                                     Dooly        GA              3         14918
Dougherty_GA                             Dougherty        GA             27         94565
Douglas_GA                                 Douglas        GA             20        132403
Early_GA                                     Early        GA              5         11008
Echols_GA                                   Echols        GA              2          4034
Effingham_GA                             Effingham        GA             10         52250
Elbert_GA                                   Elbert        GA              5         20166
Emanuel_GA                                 Emanuel        GA              6         22598
Evans_GA                                     Evans        GA              3         11000
Fannin_GA                                   Fannin        GA              5         23682
Fayette_GA                                 Fayette        GA             20        106567
Floyd_GA                                     Floyd        GA             20         96317
Forsyth_GA                                 Forsyth        GA             45        175511
Franklin_GA                               Franklin        GA              5         22084
Fulton_GA                                   Fulton        GA            204        920581
Gilmer_GA                                   Gilmer        GA              5         28292
Glascock_GA                               Glascock        GA              1          3082
Glynn_GA                                     Glynn        GA             15         79626
Gordon_GA                                   Gordon        GA              9         55186
Grady_GA                                     Grady        GA              6         25011
Greene_GA                                   Greene        GA              7         15994
Gwinnett_GA                               Gwinnett        GA            113        805321
Habersham_GA                             Habersham        GA              8         43041
Hall_GA                                       Hall        GA             36        179684
Hancock_GA                                 Hancock        GA              2          9429
Haralson_GA                               Haralson        GA              5         28780
Harris_GA                                   Harris        GA              5         32024
Hart_GA                                       Hart        GA              5         25213
Heard_GA                                     Heard        GA              3         11834
Henry_GA                                     Henry        GA             25        203922
Houston_GA                                 Houston        GA             23        139900
Irwin_GA                                     Irwin        GA              2          9538
Jackson_GA                                 Jackson        GA             11         60485
Jasper_GA                                   Jasper        GA              3         13900
Jeff Davis_GA                           Jeff Davis        GA              3         15068
Jefferson_GA                             Jefferson        GA              4         16930
Jenkins_GA                                 Jenkins        GA              2          8340
Johnson_GA                                 Johnson        GA              3          9980
Jones_GA                                     Jones        GA              6         28669
Lamar_GA                                     Lamar        GA              3         18317
Lanier_GA                                   Lanier        GA              2         10078
Laurens_GA                                 Laurens        GA             13         48434
Lee_GA                                         Lee        GA              5         28298
Liberty_GA                                 Liberty        GA             14         63453
Lincoln_GA                                 Lincoln        GA              2          7996
Long_GA                                       Long        GA              3         14464
Lowndes_GA                                 Lowndes        GA             25        109233
Lumpkin_GA                                 Lumpkin        GA              4         29966
McDuffie_GA                               McDuffie        GA              5         21875
McIntosh_GA                               McIntosh        GA              4         14333
Macon_GA                                     Macon        GA              4         14740
Madison_GA                                 Madison        GA              6         28120
Marion_GA                                   Marion        GA              2          8742
Meriwether_GA                           Meriwether        GA              4         21992
Miller_GA                                   Miller        GA              3          6125
Mitchell_GA                               Mitchell        GA              5         23498
Monroe_GA                                   Monroe        GA              5         26424
Montgomery_GA                           Montgomery        GA              3          9123
Morgan_GA                                   Morgan        GA              5         17868
Murray_GA                                   Murray        GA              8         39628
Muscogee_GA                               Muscogee        GA             53        189885
Newton_GA                                   Newton        GA             13         99958
Oconee_GA                                   Oconee        GA              6         32808
Oglethorpe_GA                           Oglethorpe        GA              4         14899
Paulding_GA                               Paulding        GA             19        142324
Peach_GA                                     Peach        GA              6         27695
Pickens_GA                                 Pickens        GA              6         29431
